ANO_MES;VALOR
1953.01;6,68E-15
1953.02;1,34E-14
1953.03;1,34E-14
1953.04;1,49E-14
1953.05;1,43E-14
1953.06;1,57E-14
1953.07;1,58E-14
1953.08;1,44E-14
1953.09;1,36E-14
1953.10;1,35E-14
1953.11;1,37E-14
1953.12;1,86E-14
1954.01;1,98E-14
1954.02;1,94E-14
1954.03;2,13E-14
1954.04;2,05E-14
1954.05;1,84E-14
1954.06;2,00E-14
1954.07;2,04E-14
1954.08;2,13E-14
1954.09;2,18E-14
1954.10;2,26E-14
1954.11;2,33E-14
1954.12;2,53E-14
1955.01;2,62E-14
1955.02;2,55E-14
1955.03;2,58E-14
1955.04;2,67E-14
1955.05;2,69E-14
1955.06;2,69E-14
1955.07;2,64E-14
1955.08;2,53E-14
1955.09;2,49E-14
1955.10;2,36E-14
1955.11;2,29E-14
1955.12;2,31E-14
1956.01;2,35E-14
1956.02;2,44E-14
1956.03;2,43E-14
1956.04;2,48E-14
1956.05;2,56E-14
1956.06;2,76E-14
1956.07;2,75E-14
1956.08;2,55E-14
1956.09;2,53E-14
1956.10;2,36E-14
1956.11;2,36E-14
1956.12;2,29E-14
1957.01;2,31E-14
1957.02;2,31E-14
1957.03;2,33E-14
1957.04;2,31E-14
1957.05;2,42E-14
1957.06;2,59E-14
1957.07;2,51E-14
1957.08;2,63E-14
1957.09;2,81E-14
1957.10;2,93E-14
1957.11;3,08E-14
1957.12;3,32E-14
1958.01;3,30E-14
1958.02;3,55E-14
1958.03;3,68E-14
1958.04;4,03E-14
1958.05;4,64E-14
1958.06;4,66E-14
1958.07;4,79E-14
1958.08;4,94E-14
1958.09;5,62E-14
1958.10;5,23E-14
1958.11;5,05E-14
1958.12;4,92E-14
1959.01;5,16E-14
1959.02;5,06E-14
1959.03;4,98E-14
1959.04;4,87E-14
1959.05;4,77E-14
1959.06;4,90E-14
1959.07;5,31E-14
1959.08;5,45E-14
1959.09;5,45E-14
1959.10;5,75E-14
1959.11;6,30E-14
1959.12;6,55E-14
1960.01;6,70E-14
1960.02;6,63E-14
1960.03;6,62E-14
1960.04;6,62E-14
1960.05;6,62E-14
1960.06;6,62E-14
